Authors,Author full names,Author(s) ID,Title,Year,Source title,Cited by,DOI,Link,Abstract,Author Keywords,Index Keywords,Funding Details,Document Type,Publication Stage,Open Access,Source,EID
Belsa Pellicer A.; Julian Segui M.; Marinakis A.; Nikolakopoulos A.; Moulos V.; Iturria H.; Antonio Clemente J.; Shahini X.; Kley T.; Metzger A.; Bravo M.; Calciati P.; Gizelis C.-A.; Nikolopoulos-Gkamatsis F.; Nestorakis K.; Lacalle I.; Palau C.E.; Cáceres S.,"Belsa Pellicer, Andreu (58099378800); Julian Segui, Matilde (55636849400); Marinakis, Achilleas (57191225495); Nikolakopoulos, Anastasios (57217043462); Moulos, Vrettos (55096917400); Iturria, Héctor (58099223600); Antonio Clemente, José (58099337600); Shahini, Xhulja (58099378900); Kley, Tristan (57219108675); Metzger, Andreas (15119826600); Bravo, Miguel (57211502576); Calciati, Paolo (57192680720); Gizelis, Christos-Antonios (6505905358); Nikolopoulos-Gkamatsis, Filippos (57226783612); Nestorakis, Konstantinos (57762125100); Lacalle, Ignacio (57211429006); Palau, Carlos E. (55934518500); Cáceres, Santiago (57225882508)",58099378800; 55636849400; 57191225495; 57217043462; 55096917400; 58099223600; 58099337600; 58099378900; 57219108675; 15119826600; 57211502576; 57192680720; 6505905358; 57226783612; 57762125100; 57211429006; 55934518500; 57225882508,Design of a Next-Generation Interoperable Cognitive Port Solution,2022,Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics),1,10.1007/978-3-031-20936-9_12,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85147855173&doi=10.1007%2f978-3-031-20936-9_12&partnerID=40&md5=5602ec8b2d71133d509fea3699a6ab4d,"Ports are essential nodes in global maritime trade. As such, their efficency is key to ensure sustainable supply chains across the world. Current studies point interoperability and data integration as the next milestones to achieve efficient, smart ports. DataPorts aims at covering those gaps, delivering an industrial data platform bearing in mind seaports’ involved actors’ needs. With DataPorts, transportation and logistics companies will leverage the current data deluge to offer cognitive services. This paper describes the technical design of such a platform and how it enables the acquisition, homogenization, and processing of the heterogeneous data, judiciously handled to generate advanced data-exhaustive services. Finally, it presents a practical usage example aimed to improve the business processes in the port of Valencia. © 2022, The Author(s), under exclusive license to Springer Nature Switzerland AG.",Artificial Intelligence; Interoperability; Seaports,Data integration; Ports and harbors; Supply chains; 'current; Current data; Data platform; Essential node; Heterogeneous data; Industrial datum; Logistics company; Seaport; Sustainable supply chains; Technical design; Interoperability,"H2020 Big Data Value; Horizon 2020 Framework Programme, H2020, (871493); Horizon 2020 Framework Programme, H2020; European Commission, EC",Conference paper,Final,,Scopus,2-s2.0-85147855173
Ben Farah M.A.; Ukwandu E.; Hindy H.; Brosset D.; Bures M.; Andonovic I.; Bellekens X.,"Ben Farah, Mohamed Amine (56818628100); Ukwandu, Elochukwu (55090088200); Hindy, Hanan (57205428556); Brosset, David (23466433900); Bures, Miroslav (14015114200); Andonovic, Ivan (35461300200); Bellekens, Xavier (56766157200)",56818628100; 55090088200; 57205428556; 23466433900; 14015114200; 35461300200; 56766157200,Cyber Security in the Maritime Industry: A Systematic Survey of Recent Advances and Future Trends,2022,Information (Switzerland),47,10.3390/info13010022,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85122518597&doi=10.3390%2finfo13010022&partnerID=40&md5=2685b5cfce42a149874e1d6d2cd2a90a,"The paper presents a classification of cyber attacks within the context of the state of the art in the maritime industry. A systematic categorization of vessel components has been conducted, complemented by an analysis of key services delivered within ports. The vulnerabilities of the Global Navigation Satellite System (GNSS) have been given particular consideration since it is a critical subcategory of many maritime infrastructures and, consequently, a target for cyber attacks. Recent research confirms that the dramatic proliferation of cyber crimes is fueled by increased levels of integration of new enabling technologies, such as IoT and Big Data. The trend to greater systems integration is, however, compelling, yielding significant business value by facilitating the operation of autonomous vessels, greater exploitation of smart ports, a reduction in the level of manpower and a marked improvement in fuel consumption and efficiency of services. Finally, practical challenges and future research trends have been highlighted. © 2022 by the authors. Licensee MDPI, Basel, Switzerland.",Autonomous vessel; Cyber-attack; Maritime industry; Port,Computer crime; Cybersecurity; Global positioning system; Network security; Cyber security; Cyber-attacks; Future trends; Global Navigation Satellite Systems; Key services; Maritime industry; Maritime infrastructure; Port; Recent researches; State of the art; Crime,"Horizon 2020, (833673); Horizon 2020",Review,Final,All Open Access; Gold Open Access,Scopus,2-s2.0-85122518597
"Benedict, K; Gluch, M; Kirchhoff, M; Schaub, M; Tuschling, G; Baldauf, M; Gehrke, M","Benedict, K.; Gluch, M.; Kirchhoff, M.; Schaub, M.; Tuschling, G.; Baldauf, M.; Gehrke, M.",,Enhanced Fast-Time-Simulation Features to support Ship-Handling Simulator Training,,19TH ANNUAL GENERAL ASSEMBLY (AGA) OF THE INTERNATIONAL ASSOCIATION OF MARITIME UNIVERSITIES (IAMU),12,92,View Full Record in Web of Science,"New technologies as Fast Time Simulation (FTS) have great potential for teaching and learning in the maritime training environment and for use on board of ships. New concepts for training application of these innovative technologies have been developed at Maritime Simulation Centre Warnemunde MSCW / ISSIMS Institute in research projects. The innovation is to simulate the ships motion with complex dynamic models in fast time and to display the ships track immediately for the intended or actual rudder or engine manoeuvre, steered by a smart interface. These simulations allow for new type of manoeuvring design and optimisation of not only the next manoeuvring segment ahead but also for the following or even for series of manoeuvring segments. One obvious basic advantage in relation to conventional ship-handling training and navigators' preparation of harbour approaches is the easy creation, visualization and comparability of different manoeuvring strategies. The FTS software system consists of various modules for (a) Manoeuvring Design & Planning, (b) Monitoring & Conning based on Multiple Dynamic Prediction, (c) Trial & Training and (d) Replay and Assessment. Specifically the Planning module is the missing link in Voyage planning because it allows to develop the concept of specifically the manoeuvres in the unsteady motion segment after entering the moles up to the final berthing manoeuvre and even to try out alternatives and limits of environmental effects. For practical application the new FTS-features were interfaced to the new Full-Mission and Desktop ship handling simulator Systems, configured by MarineSoft / benntec, based on Rheinmetall RME bridge simulator software ANS 6000. During recent research activities it became obvious that the new FTS technology has great potential for teaching and learning in the maritime education, both for lecturing and for simulator training in briefing and debriefing sessions of exercises, to make ship handling exercises more efficient and valuable for all parties. Experiences have been made how this new technology can be used to improve the simulator training in the Advanced Ship Handling Training course at the World Maritime University, Malmoe / Sweden [12], at the Maritime Simulation Centre of AIDA Cruises at Rostock /Germany and at the CSMART Centre for Simulator Maritime Training of Carnival Corporation at Almere /NL. In addition to ship handling training, the combination of ANS and FTS can be used in port risk assessments and in harbour and waterway design studies. Samples of application for briefing / debriefing and introduction lectures for simulator exercises specifically for typical cruises ships with Twin-Screw and -Rudder systems will be shown in the paper and at the conference. The potential of this technology for advanced maritime education and training will be discussed.",Simulation; ship handling; training; voyage planning; optimising manoeuvring concepts,,German Federal Ministry of Education and Research (BMBF) surveyed by DLR-Project Management Agency,Conference paper,,,,
Benzon H.-H.; Chen X.; Belcher L.; Castro O.; Branner K.; Smit J.,"Benzon, Hans-Henrik (7003363278); Chen, Xiao (57449974100); Belcher, Lewis (57559360900); Castro, Oscar (57201806013); Branner, Kim (22937137000); Smit, Jesper (57560901100)",7003363278; 57449974100; 57559360900; 57201806013; 22937137000; 57560901100,An Operational Image-Based Digital Twin for Large-Scale Structures,2022,Applied Sciences (Switzerland),18,10.3390/app12073216,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85127458032&doi=10.3390%2fapp12073216&partnerID=40&md5=967a2d2d2b12c0bd36851f6eddfb0c1b,"This study presents a novel methodology to create an operational Digital Twin for large-scale structures based on drone inspection images. The Digital Twin is primarily used as a virtualized representation of the structure, which will be updated according to physical changes during the life cycle of the structure. The methodology is demonstrated on a wind turbine transition piece. A three-dimensional geometry reconstruction of a transition piece as manufactured is created using a large number (>500) of RGB images collected from a drone and/or several LiDAR scans. Comparing the reconstruction to the original design will locate and quantify geometric deviations and production tolerances. An artificial intelligence algorithm is used to detect and classify paint defects/damages from images. The detected and classified paint defects/damages are subsequently digitalized and mapped to the three-dimensional geometric reconstruction of the structure. These developed functionalities allow the Digital Twin of the structure to be updated with manufacturing-induced geometric deviations and paint defects/damages using inspection images at regular time intervals. The key enabling technologies to realize the Digital Twin are presented in this study. The proposed methodology can be used in different industrial sectors, such as the wind energy, oil, and gas industries, aerospace, the marine and transport sector, and other large infrastructures. © 2022 by the authors. Licensee MDPI, Basel, Switzerland.",3D reconstruction; artificial intelligence; damage inspection; Digital Twin; drone; machine learning,,Danish Energy Technology Development and Demonstration Program; EUDP,Article,Final,All Open Access; Gold Open Access,Scopus,2-s2.0-85127458032
Bhagavathi R.; Kwame Minde Kufoalor D.; Hasan A.,"Bhagavathi, Ravitej (58199870000); Kwame Minde Kufoalor, D. (55846147700); Hasan, Agus (56402021300)",58199870000; 55846147700; 56402021300,Digital Twin-Driven Fault Diagnosis for Autonomous Surface Vehicles,2023,IEEE Access,8,10.1109/ACCESS.2023.3268711,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85153798556&doi=10.1109%2fACCESS.2023.3268711&partnerID=40&md5=db38e7449185f23798bbf3952c4c0109,"This paper presents a digital twin-driven fault diagnosis approach based on a graphical model and an adaptive extended Kalman filter algorithm for autonomous surface vehicles. In contrast with the traditional adaptive Kalman filter algorithm, where the fault parameters are treated as extended state variables, the newly proposed adaptive extended Kalman filter algorithm estimates the magnitude of the faults by calculating the parameter estimation gains directly from the sensor systems. To this end, the algorithm utilizes data from a global navigation satellite system receiver assuming the persistence of excitation conditions on the control inputs. The algorithm is tested in the Otter, an autonomous surface vehicle developed by Maritime Robotics, in which one of its propellers is faulty. Technically, the digital twin receives real-time data from the sensor system, estimates the magnitude of the actuator faults, and visualizes the results in a web-based application using JavaScript with Three.js library and Mapbox for real-world 3D map generation. Information regarding the magnitude of the faults is important for fault-tolerant control. Simulation and experimental results show the proposed approach is able to detect and estimate the actuator faults accurately. Author",Actuators; autonomous systems; Complexity theory; Computational modeling; Digital twin; Digital twins; Fault diagnosis; fault diagnosis; Propellers; Solid modeling,Actuators; Adaptive filtering; Adaptive filters; Extended Kalman filters; Fault detection; Fault tolerance; Propellers; Robots; Unmanned surface vehicles; Adaptive extended Kalman filters; Autonomous surface vehicles; Autonomous system; Complexity theory; Computational modelling; Extended Kalman filter algorithm; Faults diagnosis; Sensor systems; Solid modelling; Failure analysis,,Article,Article in press,All Open Access; Gold Open Access,Scopus,2-s2.0-85153798556
Bhalla K.; Fisher K.J.; Waligura J.E.,"Bhalla, Kenneth (7101783698); Fisher, Kelly J. (57211204515); Waligura, Jason E. (57211199943)",7101783698; 57211204515; 57211199943,Digital initiatives for condition based maintenance using monitoring solutions with data analytics,2019,"Society of Petroleum Engineers - SPE Offshore Europe Conference and Exhibition 2019, OE 2019",3,10.2118/195707-MS,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85084011557&doi=10.2118%2f195707-MS&partnerID=40&md5=f4cdbd748f68904ca1f484d457129e18,"Presently, drilling riser joints are inspected every five years. This is usually accomplished by rotating 20% onshore every year to be dis-assembled and inspected. This requires extensive boat trips from a mobile operating drilling unit (MODU) to onshore and trucking of the riser to the inspection facility. Typically, 20 riser joints from each riser system are transported on a boat and one riser per truck to an inspection facility each year, making the logistics of performing a drilling inspection complex and costly. A laser-based measurement for inspection together with monitoring of riser systems has been implemented with a new standard process for collecting critical riser data that is ABS approved. The aim is to mitigate the costs and time associated with essential MODU drilling riser inspections, by empowering operators to reliably determine the condition of drilling riser joints, consistently predict when vital components will require service and accurately assess remaining component life. The approach utilizes a life cycle condition based monitoring, maintenance and inspection system that can be deployed on a MODU, enabling resources to be deployed only when necessary, instead of on a calendar interval. The solution consists of: Performing a baseline inspection on the riser joints to assess their present state, Collecting the environmental and operating data when the rig is on site drilling, Feeding the environmental and operating data into a digital twin. The tuned digital twin can be used to predict future damage. The approach removes uncertainties surrounding damage of riser joints and will allow the owner to determine whether riser should be redeployed or replaced. This is the only process that is ABS approved for condition based monitoring of drilling riser systems. The system is compatible with all present owners’ maintenance programs and ensures that maintenance requirements are supported with robust engineering. Copyright 2019, Society of Petroleum Engineers",,Artificial life; Boats; Condition monitoring; Data Analytics; Infill drilling; Inspection; Life cycle; Maintenance; Marine risers; Offshore oil well production; Trucks; Condition based maintenance; Condition-based monitoring; Laser-based measurement; Maintenance and inspections; Maintenance programs; Maintenance requirement; Remaining component; Robust engineering; Mobile offshore drilling units,,Conference paper,Final,,Scopus,2-s2.0-85084011557
Bianucci M.; Merlino S.; Locritani M.; Paterni M.,"Bianucci, Marco (22959953100); Merlino, Silvia (57103046100); Locritani, Marina (24468456500); Paterni, Marco (7003660393)",22959953100; 57103046100; 24468456500; 7003660393,Monitoring Sea Current and Marine litter Transport using a low cost approaches,2022,"2022 IEEE International Workshop on Metrology for the Sea; Learning to Measure Sea Health Parameters, MetroSea 2022 - Proceedings",0,10.1109/MetroSea55331.2022.9950922,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85143695821&doi=10.1109%2fMetroSea55331.2022.9950922&partnerID=40&md5=eeea2c2e33902fa16ef82bcb801dd49b,"This paper describes how to use, in an innovative way, modern 'consumer' electronic technologies for wireless communication to achieve a marine monitoring system with low hardware costs, near-zero maintenance costs, and low power consumption, compared to systems based on single drifters with satellite communication. The development of newly developed oceanographic drifters that can be used for mesoscale monitoring of marine currents and for further applications (recovery of people/materials at sea, pollutant spills, marine litter dispersion) is described, together with much simpler but highly effective marine litter tracking systems for monitoring, in coastal waters, marine litter coming out of rivers, with open source systems and applicable with a citizen-science approach.  © 2022 IEEE.",citizen science; Digital Twin; IoT; marine current; marine drifters; marine litter dispersion; wireless communication,Internet of things; Marine applications; Marine communication; Marine pollution; Satellite communication systems; Citizen science; Electronic technologies; IoT; Low cost approach; Marine drifter; Marine litter; Marine litter dispersion; Marine monitoring system; Sea current; Wireless communications; Costs,,Conference paper,Final,,Scopus,2-s2.0-85143695821
Bilalis E.P.; Keramidis M.S.; Tsouvalis N.G.,"Bilalis, E.P. (57219311402); Keramidis, M.S. (57556656900); Tsouvalis, N.G. (6602216640)",57219311402; 57556656900; 6602216640,Structural design optimization of composite materials drive shafts,2022,Marine Structures,9,10.1016/j.marstruc.2022.103194,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85127319790&doi=10.1016%2fj.marstruc.2022.103194&partnerID=40&md5=9d290c31f0cbb6c6eb5cb2322a8bee89,"Composite materials drive shafts attract particular interest in recent years. Their high strength, light weight and high fatigue and corrosion resistance make them suitable for high specification mechanical and marine applications. In the context of the present work, advanced finite element models that simulate the static and dynamic mechanical behaviour of composite drive shafts are combined with optimization algorithms in order to determine the optimum lay-up of a composite shaft according to the desired specifications. The composite shaft is also combined with metallic flanges and the performance of the combined system is also investigated. The created models facilitate the structural design optimization of composite material drive shafts and constitute the basis for the future implementation of the simulation driven digital twins of composite materials drivetrain systems. © 2022 Elsevier Ltd",CFRP; Composite drive shafts; Composite materials; Optimization; Structural design,Composite materials; Corrosion resistance; Marine applications; Shape optimization; Specifications; Structural optimization; Composite drive shaft; Composite shafts; Composites material; Finite element modelling (FEM); High-strength; Light weight; Mechanical; Optimisations; Statics and dynamics; Structural design optimization; algorithm; composite; corrosion; fatigue; finite element method; optimization; shaft; Structural design,,Article,Final,,Scopus,2-s2.0-85127319790
Bilalis E.P.; Tsouvalis N.G.,"Bilalis, E.P. (57219311402); Tsouvalis, N.G. (6602216640)",57219311402; 6602216640,Advanced composite materials shafts modelling,2021,"Developments in Maritime Technology and Engineering - Proceedings of the 5th International Conference on Maritime Technology and Engineering, MARTECH 2020",2,10.1201/9781003216582-70,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85127334846&doi=10.1201%2f9781003216582-70&partnerID=40&md5=7b70a4b419a7f6952147d259db0c1e57,"The use of composite materials for the manufacturing of power transmission shafts attracts particular interest. Especially for the marine sector, apart from their high strength and light weight, composite shafts offer the advantages of high fatigue and corrosion resistance. In the context of the present work, advanced finite element models are developed for the simulation of the mechanical behavior of composite shafts. The calibration and validation of the finite element models is pursued by the comparison of their results with experimental data acquired from the industry and literature. These models will consist the base for the future development of the digital twins of composite materials shafts. © 2021 the Author(s).",,Corrosion resistance; Electric power transmission; Finite element method; Advanced composite materials; Composite shafts; Composites material; Finite element modelling (FEM); High lights; High-strength; Marine sector; Power-transmission; Shaft modelling; Transmission shafts; Composite materials,,Conference paper,Final,,Scopus,2-s2.0-85127334846
Bilalis E.P.; Tsouvalis N.G.,"Bilalis, E.P. (57219311402); Tsouvalis, N.G. (6602216640)",57219311402; 6602216640,Experimental and numerical study of composite materials drive shafts,2023,"Advances in the Analysis and Design of Marine Structures - Proceedings of the 9th International Conference on Marine Structures, MARSTRUCT 2023",0,10.1201/9781003399759-77,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85185835568&doi=10.1201%2f9781003399759-77&partnerID=40&md5=8eafe7e40a91faae0450dc20e2deb62f,"Composite materials driveshafts are increasingly becoming the engineers’ choice for a large number of high performance and heavy duty power transmission applications, due to their light weight and high strength. Especially for the marine sector, composite driveshafts also offer the advantages of high fatigue and corrosion resistance. In the context of the present work, filament wound composite materials shafts are subjected to static torsional tests, in order to assess their torsional stiffness, failure load and failure mode. The experimental results are compared to the numerical results of finite element models developed at the Shipbuilding Technology Laboratory for the simulation of the mechanical behavior of the composite shafts. The comparison between experimental and numerical results supported the calibration and validation of the finite element models, which constitute the basis for the development of the digital twins of composite materials driveshafts. © 2023 The Author(s).",,Finite element method; Glass ceramics; Composites material; Driveshafts; Experimental and numerical studies; Finite element modelling (FEM); Heavy duty; High-strength; Light weight; Numerical results; Performance; Power-transmission; Corrosion resistance,,Conference paper,Final,,Scopus,2-s2.0-85185835568
Blanco-Gómez P.; Luis Jiménez-García J.; Cecilia J.M.,"Blanco-Gómez, Pablo (57211981757); Luis Jiménez-García, José (57996665700); Cecilia, Jose M. (35271375900)",57211981757; 57996665700; 35271375900,"Low-cost automated GPS, electrical conductivity and temperature sensing device (EC + T Track) and Android platform for water quality monitoring campaigns",2023,HardwareX,2,10.1016/j.ohx.2022.e00381,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85143526836&doi=10.1016%2fj.ohx.2022.e00381&partnerID=40&md5=c22b8f5558804f1fa380394c96bf0aac,"Environmental and water quality monitoring are of utmost interest in a context where land use changes, uncontrolled agricultural practices, human settlements, tourism and other activities affect a watershed and condition the usage of their surface waters. Such is the case of Mar Menor lagoon in Southeast of Spain, where the EU H2020 SMARTLAGOON project stands and is implementing an intelligent environmental infrastructure and modelling that will let the construction of a digital twin of the lagoon. Performing environmental monitoring is expensive and the number of sampling locations is typically limited by the budget. For this reason, we have developed a low-cost monitoring system that can be integrated in a small-sized buoy and attached to fishing and recreational boats allowing citizens to gather water quality information – i.e. electrical conductivity and temperature – with the use of their smartphones. The usage of such devices leads to key stakeholder engagement and citizen science activities that could enrich and ease the data gathering process. © 2022 The Authors",Android App; Marine IoT; Water quality monitoring,Android (operating system); Budget control; Electric conductivity; Internet of things; Lakes; Land use; Water quality; Agricultural practices; Android apps; Android platforms; Conductivity sensing; Electrical conductivity; Landuse change; Low-costs; Marine IoT; Temperature-sensing device; Water quality monitoring; Costs,"Horizon 2020 Framework Programme, H2020, (101017861); Instituto Español de Oceanografía, IEO",Article,Final,All Open Access; Green Open Access,Scopus,2-s2.0-85143526836
"Bojic, F; Karin, I; Juricevic, I; Cipcic, M","Bojic, F.; Karin, I; Juricevic, I; Cipcic, M.",,Design and Application of an Automated Smart Buoy in Increasing Navigation Safety and Environmental Standards in Ports,2021,TRANSNAV-INTERNATIONAL JOURNAL ON MARINE NAVIGATION AND SAFETY OF SEA TRANSPORTATION,11,10.12716/1001.15.02.14,View Full Record in Web of Science,"The growing demand for transportation has brought even larger quantities of traffic in spatially limited port areas. Considering a diverse traffic mix, infrastructural overcapacity and busy schedule, port communities have started to face possible degradation of safety and environmental standards. To mitigate these problems, a number of different monitoring solutions of marine environment were deployed. Since conventional environmental and traffic data gathering by physical monitoring and sampling was logistically complicated and inefficient in time and resources, different approaches had to be considered. With the rise of accessible Internet of Things (IoT) technology some ports already installed smart monitoring devices such as smart buoys. The goal of this paper is to examine the concept and benefits of an automated smart buoy as a cost effective, easy to install device capable of real-time remote information sharing. Furthermore, the design and operational processes of existing automated smart buoy will be presented, along with solutions for tackling navigational safety and environmental problems.",,WIRELESS SENSOR NETWORKS; COST,,Article,,,,
Bole M.; Powell G.; Rousseau E.,"Bole, Marcus (57224282821); Powell, Gabriel (57195424587); Rousseau, Eric (57195414591)",57224282821; 57195424587; 57195414591,Taking control of the digital twin,2017,"SNAME Maritime Convention, SMC 2017",4,109,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85084945740&partnerID=40&md5=fbcb26962ac0e829fce3b926badff3b0,"The rise of digital documentation has given the marine industry the ability to capture more information than ever about the ships and facilities we produce and operate. While this should make management of these assets more effective, the ease in which information can be created often means that we find ourselves unable to find the information we're searching for. As constituent engineering systems become more complex, integrated and autonomous the need to retain documentation that describes operation becomes necessary for efficient maintenance and resolving unforeseen situations. Digital Twin's address this challenge by retaining and publishing documentation, but a key principle is the efficient means to find data to ensure relevance and reduced searching time. For several years, AVEVA has been exploiting the opportunity to link asset documentation together using contextual themes to create a connected dataset which allows quick identification of critical and related information. This has resulted in several Digital Twin interfaces that deploy information into different scenarios and devices, from handheld personal devices to large format screens for team decision support. Using these tools our customers can maintain their vessel, expose trends in data and provide insight into ways their asset may be changing over time. © 2017 The Society of Naval Architects and Marine Engineers. All rights reserved.",,Decision support systems; Digital devices; Marine engineering; Marine industry; Digital documentation; Engineering systems; Handhelds; Large format; Personal devices; Searching time; Team decision; Twin interfaces; Digital twin,,Conference paper,Final,,Scopus,2-s2.0-85084945740
"Bonsignorio, F; Zereik, E","Bonsignorio, Fabio; Zereik, Enrica",,Merging BSP based swarm dynamics and distributed ledger technologies for smart marine infrastructures,,IFAC PAPERSONLINE,33,10.1016/j.ifacol.2023.10.376,View Full Record in Web of Science,"Distributed ledger technologies, together with AI, smart systems and robotics could provide a scalable and robust platform for the smart underwater and surface marine infrastructures of the close future. They will be harbours or ports, marine farms or remote tourism facilities - only accessible through robotic avatars - for protected areas or for the elders. Autonomous Marine Vehicles, IoT networks, and humans will coexist in highly heterogeneous multivendor multiplatform environments where market transactions and complex administrative procedures will be ubiquitous. Some blockchains such as the Ethereum network are able to provide distributed scalable computing and trustable functionalities, capable of managing both technical interactions and market transactions among very diversified autonomous agents. For these reasons they seem to provide a valuable backbone for the smart marine infrastructure of the coming decades. In this paper we outline our research and innovation strategy and present our results showing the potential benefits of a subsidiary architecture integrating distributed ledger technologies with swarms of autonomous surface robots implemented by a Belief Space Planning approach. Copyright (C) 2023 The Authors.",Smart Marine Facilities; Blockchain; Ethereum; Multi agent systems; BSP; Swarms,,H2020 AIFORS project [952275],Conference paper,,,,
"Borelli, D; Devia, F; Schenone, C; Silenzi, F; Tagliafico, LA","Borelli, Davide; Devia, Francesco; Schenone, Corrado; Silenzi, Federico; Tagliafico, Luca A.",,Dynamic Modelling of LNG Powered Combined Energy Systems in Port Areas,2021,ENERGIES,29,10.3390/en14123640,View Full Record in Web of Science,"Liquefied Natural Gas (LNG) is a crucial resource to reduce the environmental impact of fossil-fueled vehicles, especially with regards to maritime transport, where LNG is increasingly used for ship bunkering. The present paper gives insights on how the installation of LNG tanks inside harbors can be capitalized to increase the energy efficiency of port cities and reduce GHG emissions. To this purpose, a novel integrated energy system is introduced. The Boil Off Gas (BOG) from LNG tanks is exploited in a combined plant, where heat and power are produced by a regenerated gas turbine cycle; at the same time, cold exergy from LNG regasification contributes to an increase in the efficiency of a vapor compression refrigeration cycle. In the paper, the integrated energy system is simulated by means of dynamic modeling under daily variable working conditions. Results confirm that the model is stable and able to determine the time behavior of the integrated plant. Energy saving is evaluated, and daily trends of key thermophysical parameters are reported and discussed. The analysis of thermal recovering from the flue gases shows that it is possible to recover a large energy share from the turbine exhausts. Hence, the system can generate electricity for port cold ironing and, through a secondary brine loop, cold exergy for a refrigeration plant. Overall, the proposed solution allows primary energy savings up to 22% when compared with equivalent standard technologies with the same final user needs. The exploitation of an LNG regasification process through smart integration of energy systems and implementation of efficient energy grids can contribute to greener energy management in harbors.",Liquefied Natural Gas; combined systems; exergy recovery; port; dynamic modeling,EXERGY RECOVERY; COLD; REGASIFICATION; FUEL; OPTIMIZATION; FACILITIES; EMISSIONS; PROSPECTS,European Union's INTERREG IT-FR Maritime Programme [CUP D36C18000260006],Article,,,,
"Bosich, D; Vicenzutti, A; Sulligoi, G","Bosich, Daniele; Vicenzutti, Andrea; Sulligoi, Giorgio",,Environment-friendliness in Maritime Transport: Designing Smart Recharging Stations in North Adriatic Sea,,2020 FIFTEENTH INTERNATIONAL CONFERENCE ON ECOLOGICAL VEHICLES AND RENEWABLE ENERGIES (EVER),14,78,View Full Record in Web of Science,"Today, the electrification plays a crucial role in the challenge towards the energy sustainability. Focusing on the transportation field, the integration of carbon-free electric vehicles (cars, ships, trains and so on) and smart charging infrastructures based on renewable resources can strongly reduce the pollutants emissions of human mobility, while at the same time promoting the Smart City paradigm. In this context, the INTERREG project METRO (Maritime Environment-friendly TRanspOrt systems) is aimed at proposing innovative solutions for the improvement of the environmental sustainability in the North Adriatic maritime transport. The goal is to be reached by means of an integrated strategy, focusing on tackling both ships and ports. On one hand, by using electrical propulsion and energy storage systems onboard the ship, it is possible to decrease the vessel's environmental impact while sailing. On the other hand, a well-designed recharging infrastructure in the port can recharge the ship's energy storage system while at berth, possibly exploiting renewable carbon-free resources.",maritime transport; bidirectional ferry; energy storage system; series-hybrid; DC power system; recharging infrastructure; microgrid; Renewable Energy Sources,,"2014-2020 Interreg V-A, Italy-Croatia CBC Programme; 2017 Standard call research project METRO -Maritime Environment-friendly TRanspOrt systems",Conference paper,,,,
Botti A.; Monda A.; Pellicano M.; Torre C.,"Botti, Antonio (55515788900); Monda, Antonella (57200200299); Pellicano, Marco (57190031003); Torre, Carlo (57190302252)",55515788900; 57200200299; 57190031003; 57190302252,The re-conceptualization of the port supply chain as a smart port service system: The case of the port of salerno,2017,Systems,30,10.3390/systems5020035,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85040199079&doi=10.3390%2fsystems5020035&partnerID=40&md5=16af72809faf3f6bfaa0619a180b7ed0,"This paper proposes a re-conceptualization of the port supply chain as a smart service system, in accordance with the theory of service science. Starting from a short literature review about the port supply chain approach and service science, a new comprehensive framework is provided to better understand seaport dynamics and the creation of competitive port supply chains. The methodology used is the case study approach. The Authors examined the Port of Salerno (Italy) and re-conceptualized it as a smart port service system. The originality of the work lies in the application of service science as a lens to re-conceptualize the port supply chain, that allows the implementation of a logistic framework. Both theoretical and practical implications are provided to enrich the literature about port supply chains and to support port operators. © 2017 by the authors. Licensee MDPI, Basel, Switzerland.",Port supply chain management; Service science; Service systems; Smart service systems,,,Article,Final,All Open Access; Gold Open Access; Green Open Access,Scopus,2-s2.0-85040199079
